	0.221842784426
all	-1.4525569594
https://tco/w5bnamwmpk	-2.48718605484
don't	-3.18990406202
http://tco/ngyxaeruoz	-3.69835013633
✊	-4.08330266697
character
#fergusondecision	-4.38488138387
won't	-4.62752563396
welfare	-4.82697313298
its	-4.99381618773
before	-5.13544565214
http://tco/i7wt8kmmwz	-5.25717547721
had	-5.36292436114
govt?	-5.45564547111
should	-5.53760656107
#rednationrising	-5.61057791708
to	-5.67596167474
pls	-5.73488279072
judged	-5.78825430931
weeks	-5.83682501667
thousands	-5.8812147889
http://tco/im43qqlnb0	-5.92194118857
@qveenkxo_:	-5.95943973737
@wsj:	-5.99407955225
ferguson	-6.02617553677
they	-6.05599798172
fam	-6.08378019527
not	-6.10972461898
during	-6.13400776893
hall	-6.15678425713
thxgiving	-6.1781900869
#tcot	-6.1983453707
mcculloch	-6.21735658518
public	-6.23531845277
race	-6.25231552007
week's	-6.26842348864
http://tco/pzwchjcpbl	-6.28371034213
deandre	-6.29823730542
london	-6.3120596642
side	-6.32522746807
http://t…	-6.3377861361
revolution	-6.3497769802
people	-6.36123765918
protests:	-6.37220257374
related	-6.3827032114
hasn't	-6.39276844848
are	-6.40242481524
@deray:	-6.41169672945
jury	-6.42060670252
racial	-6.42917552197
event	-6.43742241336
rt	-6.4453651843
what	-6.45302035278
and/or	-6.46040326186
for	-6.46752818231
tensions	-6.47440840467
decision	-6.48105632196
since	-6.48748350426
conservative	-6.49370076584
content	-6.49971822588
attitudes	-6.50554536349
@sandraalabama:	-6.51119106749
checks	-6.51666368163
http://tco/axjjlsen…	-6.52197104581
be	-6.52712053348
http://tco/ah0uhqtmyu	-6.53211908585
business	-6.53697324313
dorian?	-6.54168917301
http://tco/bs77…	-6.54627269687
http://tco/rpeg1nqhdd	-6.55072931374
let	-6.55506422227
come	-6.55928234102
by	-6.56338832701
http://tco/rewndjtmrf	-6.56738659293
on	-6.57128132294
about	-6.57507648725
simmer:	-6.57877585566
@lemoncayke:	-6.58238301001
of	-6.5859013558
needing	-6.58933413284
trial	-6.59268442529
dinner	-6.59595517082
act	-6.59914916925
bob	-6.60226909053
or	-6.60531748218
can't	-6.60829677624
http://tco/wbvtngfjab	-6.61120929571
because	-6.61405726063
your	-6.61684279372
#ferguson	-6.61956792561
city	-6.62223459985
guess	-6.62484467744
joshua's	-6.62739994127
#dawongore	-6.62990210008
there	-6.63235279235
abroad	-6.63475358981
few	-6.63710600087
#pjnet	-6.63941147372
storm	-6.64167139933
was	-6.64388711427
friend	-6.64605990329
selling	-6.64819100186
statement	-6.65028159848
both	-6.65233283691
immigration	-6.65434581823
but	-6.65632160284
http://tco/oamwnrs81n	-6.65826121231
photos	-6.66016563113
cases	-6.6620358084
with	-6.66387265939
he	-6.66567706703
none	-6.66744988334
this	-6.66919193078
up	-6.67090400348
@maggiepolitico:	-6.67258686849
blunts?	-6.6742412669
i	-6.67586791495
prosecutor	-6.67746750505
my	-6.67904070676
@chlldhoodruiner:	-6.68058816773
and	-6.68211051458
challenging	-6.68360835378
@christianmsx:	-6.68508227239
it	-6.68653283892
@jlangdale:	-6.68796060395
as	-6.68936610093
#ferguson	-6.69074984678
in	-6.69211234254
seen	-6.69345407399
shooting	-6.69477551221
anymore	-6.69607711414
american	-6.69735932308
how	-6.69862256926
you	-6.69986727025
several	-6.70109383146
brazil	-6.70230264656
extended	-6.70349409791
after	-6.70466855697
fb	-6.70582638469
#weseeyou	-6.70696793185
@qtiptheabstract:	-6.70809353943
a	-6.70920353898
trendingtalk	-6.7102982529
lawd	-6.71137799477
🙏🙏🙏	-6.71244306967
☕️🐸	-6.71349377441
so	-6.71453039789
its'	-6.71555322128
the	-6.71656251833
#ferguson	-6.71755855561
w/cash	-6.71854159271
talk	-6.71951188249
that's	-6.72046967131
